ATL_deaths;BOS_deaths;CDH_deaths;DAL_deaths;FLA_deaths;GLA_deaths;GZC_deaths;HOU_deaths;HZS_deaths;LDN_deaths;NYE_deaths;PAR_deaths;PHI_deaths;SEO_deaths;SFS_deaths;SHD_deaths;TOR_deaths;VAN_deaths;WAS_deaths;esports_match_id;esports_tournament_id;game_id;game_number;map_id;map_type;match_id;season_id;team_1;team_2;total_game_time;tournament_id;tournament_type
;;;;;;;;;;31.0;;;10.0;;;;;;20301;5070;matchgame-778b5e5f-dc83-6643-84cf-0cabb8ecb99f;1;ilios;CONTROL;match-77594157-a590-7d42-8a9c-b51bcf70da18;2019;SEO;NYE;513716;tournament-6d648f92-c272-e94d-acde-6586644cdc5d;owl
;;;;;;;;;;36.0;;;16.0;;;;;;20301;5070;matchgame-97d06f86-739b-734b-ad5c-2ead05ca864e;2;hollywood;HYBRID;match-77594157-a590-7d42-8a9c-b51bcf70da18;2019;SEO;NYE;782868;tournament-6d648f92-c272-e94d-acde-6586644cdc5d;owl
;;;;;;;;;;71.0;;;55.0;;;;;;20301;5070;matchgame-936d1c0b-95a7-d54e-9056-55720297f414;3;volskaya;ASSAULT;match-77594157-a590-7d42-8a9c-b51bcf70da18;2019;SEO;NYE;1569236;tournament-6d648f92-c272-e94d-acde-6586644cdc5d;owl
;;;;;;;;;;56.0;;;33.0;;;;;;20301;5070;matchgame-2f4c15d6-c186-e84c-b0b2-d318c05fad44;4;rialto;PAYLOAD;match-77594157-a590-7d42-8a9c-b51bcf70da18;2019;SEO;NYE;1138140;tournament-6d648f92-c272-e94d-acde-6586644cdc5d;owl
;30.0;;;;;;;;;;;;;;;;17.0;;20302;5070;matchgame-d5b0f4d3-2b69-5a42-a66d-5571a1b644f1;1;ilios;CONTROL;match-775f68c1-da51-6946-90b4-df08af63b0b0;2019;BOS;VAN;539213;tournament-6d648f92-c272-e94d-acde-6586644cdc5d;owl
;35.0;;;;;;;;;;;;;;;;13.0;;20302;5070;matchgame-df307359-de98-9b44-81bf-0e56ce19d102;2;kings-row;HYBRID;match-775f68c1-da51-6946-90b4-df08af63b0b0;2019;BOS;VAN;643873;tournament-6d648f92-c272-e94d-acde-6586644cdc5d;owl
;55.0;;;;;;;;;;;;;;;;39.0;;20302;5070;matchgame-62d516e9-9523-b04d-ab2c-d8c5a456bcef;3;temple-of-anubis;ASSAULT;match-775f68c1-da51-6946-90b4-df08af63b0b0;2019;BOS;VAN;0;tournament-6d648f92-c272-e94d-acde-6586644cdc5d;owl
37.0;;;;;;;;;;;;45.0;;;;;;;20303;5070;matchgame-c9b410f3-ff34-a54b-95eb-a55629d5cc1f;1;ilios;CONTROL;match-51143f11-d7df-6c4e-aeab-03b75357ae9f;2019;ATL;PHI;851553;tournament-6d648f92-c272-e94d-acde-6586644cdc5d;owl
47.0;;;;;;;;;;;;32.0;;;;;;;20303;5070;matchgame-cdfc2aaa-111d-8240-960f-5576284b28a9;2;kings-row;HYBRID;match-51143f11-d7df-6c4e-aeab-03b75357ae9f;2019;ATL;PHI;0;tournament-6d648f92-c272-e94d-acde-6586644cdc5d;owl
59.0;;;;;;;;;;;;25.0;;;;;;;20303;5070;matchgame-daf9c4e4-72ec-3c4a-a134-c65e668b57ec;3;volskaya;ASSAULT;match-51143f11-d7df-6c4e-aeab-03b75357ae9f;2019;ATL;PHI;1143097;tournament-6d648f92-c272-e94d-acde-6586644cdc5d;owl
